root,0,0,0,F,CS103,CS131,CS121,HM101,MT101,PH103,EE121,ME102,MS291,CS481,CS482,HM211,HM322,HM321
CS103,1,3,3,T,CS103L,CS112,,,,,,,,,,,,
CS131,1,3,3,T,,,,,,,,,,,,,,
CS121,1,3,2,T,,,,,,,,,,,,,,
HM101,1,3,3,T,HM102,,,,,,,,,,,,,
MT101,1,3,1,T,MT102,ES202,,,,,,,,,,,,
CS103L,1,1,3,T,,,,,,,,,,,,,,
CS112,2,3,2,T,AI201,AI211,CS221,CS112L,,,,,,,,,,
EE121,2,3,2,T,CS222,,,,,,,,,,,,,
MT102,2,3,1,T,MT201,,,,,,,,,,,,,
HM102,2,3,2,T,,,,,,,,,,,,,,
ME102,2,2,1,T,,,,,,,,,,,,,,
PH103,2,2,2,T,,,,,,,,,,,,,,
EE121L,2,1,1,T,,,,,,,,,,,,,,
CS112L,2,1,2,T,,,,,,,,,,,,,,
CS221,3,3,2,T,CS221L,AI232,CS222,CS311,CS325,CS478,CS417,CS464,CE413,,,,,
AI201,3,2,3,T,AI201L,,,,,,,,,,,,,
AI211,3,2,2,T,AI211L,,,,,,,,,,,,,
MS291,3,3,2,T,,,,,,,,,,,,,,
MT201,3,3,1,T,ES304,AI351,,,,,,,,,,,,
CS221L,3,1,2,T,,,,,,,,,,,,,,
AI211L,3,1,3,T,,,,,,,,,,,,,,
AI201L,3,1,3,T,,,,,,,,,,,,,,
AI231,4,3,3,T,AI341,,,,,,,,,,,,,
CS222,4,3,2,T,CS222L,,,,,,,,,,,,,
CS232,4,3,2,T,CS232L,,,,,,,,,,,,,
ES202,4,3,1,T,,,,,,,,,,,,,,
HM211,4,3,2,T,,,,,,,,,,,,,,
CS222L,4,1,3,T,,,,,,,,,,,,,,
CS232L,4,1,2,T,,,,,,,,,,,,,,
AI341,5,3,2,T,AI341L,AI305L,AI319,AI361,,,,,,,,,,
AI351,5,3,3,T,AI351L,,,,,,,,,,,,,
CS311,5,3,2,T,CS311L,,,,,,,,,,,,,
ES304,5,3,1,T,,,,,,,,,,,,,,
HM321,5,3,2,T,,,,,,,,,,,,,,
AI341L,5,1,2,T,,,,,,,,,,,,,,
AI351L,5,1,2,T,,,,,,,,,,,,,,
CS311L,5,1,3,T,,,,,,,,,,,,,,
AI361,6,3,2,T,AI361L,,,,,,,,,,,,,
AI319,6,3,2,T,AI319L,AI407L,,,,,,,,,,,,
HM322,6,3,2,T,,,,,,,,,,,,,,
CS325,6,3,2,T,,,,,,,,,,,,,,
AI361L,6,1,2,T,,,,,,,,,,,,,,
AI319L,6,1,2,T,,,,,,,,,,,,,,
AI305L,6,1,2,T,AI406L,,,,,,,,,,,,,
CS417,7,3,2,T,CS417L,,,,,,,,,,,,,
CS478,7,3,2,T,,,,,,,,,,,,,,
CS481,7,3,1,T,,,,,,,,,,,,,,
AI406L,7,1,1,T,,,,,,,,,,,,,,
CS417L,7,1,2,T,,,,,,,,,,,,,,
CS464,8,3,2,T,,,,,,,,,,,,,,
CS482,8,3,1,T,,,,,,,,,,,,,,
CE413,8,3,1,T,,,,,,,,,,,,,,
AI407L,8,1,1,T,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,